Hyatt Regency Long Island Hotel at Wind Watch Golf Club,1717 Motor Pkwy,Hauppauge,NY,11788,Conference Center,40.815065,-73.171057
Hyatt Summerfield Suites - White Plains,101 Corporate Park Dr.,White Plains,NY,10604,Conference Center,41.019866,-73.724227
"IBM Palisades, A Dolce Conference Destination",Rt. 9W,Palisades,NY,10964,Conference Center,41.0043544,-73.9083982
Inn at Great Neck,20 Cutter Mill Rd,Great Neck,NY,11021,Conference Center,40.7869353,-73.7280734
InterContinental The Barclay New York,111 East 48th St,New York,NY,10017,Conference Center,40.7554902,-73.9736402
Intrepid Sea-Air-Space Museum,1 Intrepid Square,New York,NY,10036,Public Space,40.765007,-74.000247
Islandia Marriott Long Island,"3635 Express Drive, North",Islandia,NY,11749,Conference Center,40.8097,-73.161736
Jolly Hotels,22 East 38th St,New York,NY,10016,Conference Center,40.7501381,-73.9808648
Landmark on the Park,160 Central Park West,New York,NY,10023,Conference Center,40.778764,-73.974582
Le Chambord Inn & Conference Center,2737 Rt. 52,Hopewell Junction,NY,12533,Conference Center,41.564631,-73.775949
Le Parker Meridien New York,118 West 57th St.,New York,NY,10019,Conference Center,40.764667,-73.978074
Lighthouse International,111 East 59th St,New York,NY,10022,Event Space,40.7628184,-73.969159
Loews Regency Hotel,540 Park Ave,New York,NY,10065,Conference Center,40.764614,-73.969358
Long Island Marriott Hotel and Conference Center,101 James Doolittle Blvd.,Uniondale,NY,11553,Conference Center,40.7234623,-73.5867024
Madison Square Garden,4 Penn Plaza,New York,NY,10121,Public Space,40.750354,-73.993371
Manhattan Club,800 7th Ave,New York,NY,10019,Conference Center,40.762621,-73.982506
Melville Marriott Long Island,1350 Old Walt Whitman Rd.,Melville,NY,11747,Conference Center,40.7837094,-73.4218373
Metropolitan Pavillion,125 West 18th St.,New York,NY,10011,Event Space,40.740543,-73.995756
Millennium Conference Center,145 W. 44th St,New York,NY,10036,Conference Center,40.7569402,-73.9848717
Millennium Hotel New York UN Plaza,44th St at 1st Ave,New York,NY,10017,Conference Center,40.7500598,-73.9687545
Montauk Yacht Club,32 Star Island Rd,Montauk,NY,11954,Event Space,41.0675189,-71.9345879
Pulse Restraunt and Bar,45 Rockefeller Plz,New York,NY,10001,Restaurant,40.759448,-73.9782
Regus NYC,245 Park Avenue,New York,NY,10017,Event Space,40.7546423,-73.9748948
New York Life Offices,420 Lexington Ave,New York,NY,10170,Event Space,40.752443,-73.975456
The Pearl Room,8201 Third Ave,Brooklyn,NY,11209,Restaurant,40.626185,-74.029584
Ave,743 Passaic Ave,Clifton,NJ,7012,Restaurant,40.8368509,-74.1458016
